speed_kmh,payload_kg,ambient_temp_C,hvac_power_kw,road_grade_pct,battery_temp_C,driving_style_index,tire_pressure_bar,trip_distance_km,energy_consumption_kwhper100km
95.3,173.2,19.2,2.43,0.08,29.0,0.383,2.46,141.9,23.113
68.4,486.5,9.5,4.79,-3.23,28.7,0.931,2.32,109.3,28.148
33.4,489.9,-4.5,2.13,-4.13,30.1,0.215,2.43,112.8,21.812
74.5,134.1,34.8,1.78,5.24,36.7,0.141,2.7,25.6,21.447
23.8,20.5,-8.2,4.99,3.79,35.0,0.842,2.69,52.4,25.55
120.0,352.5,33.2,2.66,0.35,21.7,0.717,2.62,157.1,26.817
48.5,225.5,8.0,1.88,6.65,16.9,0.821,2.33,95.4,24.569
92.9,50.4,22.0,1.93,0.34,43.5,0.158,2.63,94.1,19.513
54.3,353.8,36.1,0.97,4.23,22.8,0.885,2.31,111.5,25.73
77.2,15.6,-2.4,2.56,6.82,34.2,0.678,2.53,89.6,25.215
80.1,435.1,18.3,2.19,5.93,39.9,0.652,2.45,162.2,28.394
40.3,69.3,28.2,1.35,1.64,24.0,0.583,2.24,151.0,18.933
126.7,63.7,27.9,0.8,3.85,34.1,0.765,2.36,66.8,23.962
105.3,87.8,16.3,1.56,0.38,18.2,0.416,2.66,163.4,20.979
123.3,480.1,21.2,2.54,3.41,44.1,0.133,2.73,106.1,28.813
118.4,346.6,27.9,0.29,-1.65,16.7,0.539,2.16,127.4,24.724
85.8,400.7,32.1,0.77,0.65,28.1,0.748,2.36,173.9,25.81
121.4,198.8,28.1,4.74,-2.28,31.1,0.154,2.35,97.8,24.894
29.7,168.2,7.7,2.71,-4.5,38.7,0.224,2.39,152.5,19.357
41.6,117.2,39.8,0.32,2.65,18.6,0.697,2.78,127.5,19.495
25.0,240.3,11.7,3.47,6.24,28.2,0.27,2.41,88.2,21.803
55.8,275.9,-8.8,0.31,-4.67,24.0,0.17,2.66,158.9,19.745
62.8,315.9,8.1,3.69,-2.45,24.4,0.889,2.53,25.5,22.124
49.8,128.6,-3.6,3.75,0.98,38.4,0.161,2.09,118.3,22.589
111.2,474.3,-3.9,3.26,3.66,15.2,0.344,2.56,14.1,31.479
59.2,84.9,4.1,3.66,-2.77,37.5,0.428,2.52,35.5,20.391
50.9,482.8,-7.3,0.44,-4.26,39.3,0.476,2.61,121.8,21.194
79.7,7.4,24.4,3.63,1.75,42.0,0.361,2.06,65.0,20.489
35.5,240.6,-6.3,0.68,5.64,33.8,0.913,2.19,56.2,25.782
108.2,166.7,0.2,1.7,-4.54,25.0,0.659,2.62,191.4,23.898
28.2,224.6,-5.4,4.71,-0.46,27.8,0.359,2.3,76.4,24.344
128.6,285.3,-6.8,2.51,3.63,44.1,0.358,2.73,115.1,30.408
104.9,217.8,3.4,4.84,-3.3,41.4,0.503,2.41,109.2,25.708
41.9,207.4,18.6,0.44,-1.93,28.9,0.034,2.0,17.1,15.812
20.6,366.4,38.2,2.39,1.96,43.3,0.927,2.56,136.5,25.113
109.7,342.9,33.8,0.31,7.39,39.7,0.223,2.41,105.0,26.576
97.8,416.6,33.8,3.15,-1.26,42.0,0.698,2.25,79.4,26.745
100.2,125.0,-1.2,0.39,1.34,35.5,0.778,2.02,17.9,23.179
104.8,304.8,3.2,0.88,0.2,40.7,0.827,2.16,62.1,25.564
28.1,292.6,-6.2,1.29,6.67,41.8,0.166,2.13,177.4,23.979
59.4,184.9,28.9,3.74,-4.07,17.8,0.537,2.47,38.9,20.828
32.7,243.0,-6.5,0.82,2.36,44.0,0.084,2.62,47.8,19.177
114.9,156.9,17.8,4.23,6.0,25.0,0.805,2.19,45.0,28.622
88.6,70.9,2.4,0.66,7.85,28.2,0.486,2.56,178.7,23.374
56.4,106.9,2.2,0.18,4.08,38.8,0.158,2.72,141.5,18.987
27.0,52.8,39.5,1.98,-0.06,34.9,0.719,2.5,177.0,18.755
54.2,341.5,27.8,4.9,0.35,41.8,0.331,2.62,183.2,24.816
55.8,330.4,31.8,0.55,-0.43,27.0,0.115,2.16,186.0,19.793
100.3,475.3,18.6,0.51,2.85,26.2,0.461,2.06,99.7,26.529
90.1,364.8,33.6,3.76,4.61,16.0,0.235,2.29,97.9,27.695
117.6,26.0,22.3,1.56,5.65,28.9,0.95,2.57,166.6,24.97
71.9,442.1,37.3,3.59,0.42,36.7,0.361,2.55,69.7,25.595
33.2,431.3,4.1,1.0,4.32,24.0,0.572,2.76,9.3,23.343
98.5,221.7,19.8,2.3,6.91,28.9,0.948,2.5,69.7,28.075
103.7,292.9,24.5,1.33,6.97,21.6,0.394,2.33,144.7,28.3
81.7,488.0,9.6,2.26,4.15,38.2,0.358,2.64,29.1,26.02
104.8,266.2,34.0,3.85,3.28,16.8,0.162,2.12,158.0,27.629
74.3,452.7,39.0,3.81,1.91,36.2,0.938,2.65,164.0,30.302
77.5,41.5,14.7,2.58,-2.62,26.4,0.801,2.29,24.7,19.399
67.0,95.5,9.5,4.64,-3.39,16.2,0.221,2.12,24.1,19.427
22.8,220.4,13.6,1.32,1.31,40.6,0.333,2.13,43.8,18.917
31.9,292.4,32.6,1.2,-2.93,29.6,0.915,2.79,74.5,18.697
23.5,408.1,22.3,3.07,2.5,33.0,0.537,2.5,108.9,24.808
90.0,494.1,-7.8,3.11,3.39,37.0,0.556,2.14,99.7,31.839
54.6,194.4,17.1,0.23,1.83,34.7,0.648,2.21,171.4,22.506
75.9,23.7,-9.1,3.04,-4.53,36.9,0.762,2.3,32.7,21.268
119.8,400.6,28.9,1.87,-4.25,37.9,0.939,2.04,141.0,27.313
47.4,302.2,6.4,3.74,-3.53,32.7,0.802,2.09,112.0,22.097
65.1,99.3,13.6,4.04,-3.0,26.0,0.935,2.61,148.7,23.112
103.1,247.4,29.9,2.76,7.87,22.3,0.821,2.63,71.7,29.64
45.2,371.2,-7.7,0.01,-0.52,42.1,0.046,2.79,96.9,19.739
28.5,385.2,-2.1,3.18,-1.2,44.1,0.118,2.05,10.6,22.453
51.9,249.8,9.9,3.74,-4.32,25.7,0.885,2.71,27.6,19.784
37.7,152.6,1.5,1.24,3.26,18.4,0.028,2.25,78.1,19.779
122.3,486.9,6.9,2.32,3.48,21.7,0.794,2.26,98.8,31.018
108.9,331.7,39.9,4.83,-2.72,35.1,0.85,2.1,21.7,28.535
89.7,204.1,31.3,1.49,6.95,20.2,0.415,2.79,165.9,26.67
115.9,140.2,34.2,1.12,5.41,38.4,0.355,2.78,189.5,24.632
108.4,365.6,36.9,1.05,-2.01,42.7,0.194,2.69,121.3,21.465
40.5,121.1,7.0,2.79,1.32,43.9,0.049,2.07,15.4,17.689
118.2,85.9,4.9,4.75,0.96,15.3,0.745,2.67,149.1,27.855
79.3,264.9,1.7,3.04,-0.47,43.7,0.074,2.51,47.3,22.036
108.8,145.0,31.5,1.52,5.63,37.2,0.945,2.1,148.1,27.334
118.6,314.5,24.0,3.19,-3.58,17.5,0.297,2.21,89.7,23.907
55.0,59.0,1.8,3.12,0.4,27.5,0.794,2.55,15.4,22.725
32.1,327.5,8.8,2.98,0.56,36.0,0.06,2.64,59.4,19.45
45.1,141.6,15.3,0.8,1.09,43.7,0.536,2.68,88.3,17.444
67.0,0.1,16.4,3.17,6.2,19.9,0.349,2.44,148.6,24.119
110.0,63.5,34.4,2.15,-2.16,18.8,0.03,2.43,30.9,19.069
114.7,466.8,9.0,0.09,-3.66,29.2,0.656,2.55,61.0,24.008
20.8,433.7,35.4,2.7,3.03,44.0,0.943,2.62,21.3,23.757
76.2,116.8,12.1,4.95,-2.74,44.1,0.011,2.14,125.1,20.909
65.9,389.2,27.3,1.75,-4.03,21.8,0.27,2.59,97.5,20.932
44.4,304.3,36.5,4.83,0.55,24.6,0.704,2.27,186.2,25.76
33.2,485.5,35.4,0.48,-2.14,42.2,0.871,2.31,149.4,22.17
57.1,186.8,-7.2,3.66,-0.3,37.0,0.191,2.06,156.7,23.561
123.7,340.7,0.3,0.57,-1.62,44.2,0.071,2.47,37.1,22.336
55.6,31.8,13.8,1.37,-3.8,41.8,0.009,2.07,57.0,15.448
77.1,198.1,11.6,2.85,2.28,21.5,0.215,2.73,105.1,22.666
97.3,481.9,22.0,2.96,-4.65,37.8,0.071,2.5,7.6,23.533
60.0,269.5,37.2,3.88,7.56,16.5,0.359,2.79,174.7,29.029
126.9,143.9,-4.4,3.08,-0.56,39.5,0.44,2.2,156.7,28.017
125.9,60.1,12.6,2.97,4.04,33.0,0.48,2.54,16.3,25.663
47.7,351.8,-0.4,4.56,5.53,43.7,0.142,2.77,170.6,28.155
74.7,322.4,34.7,2.26,-1.37,43.8,0.464,2.24,5.9,23.153
53.1,187.0,38.2,1.13,4.73,16.5,0.009,2.08,27.3,21.511
51.3,475.5,13.9,0.81,5.82,19.8,0.239,2.51,15.8,24.548
24.1,11.1,-4.8,2.0,-1.86,29.5,0.369,2.29,98.4,18.458
87.1,151.9,29.3,3.56,7.9,41.4,0.118,2.22,157.9,25.892
75.3,460.5,24.9,0.21,-4.73,39.4,0.814,2.79,39.8,21.116
25.7,160.5,7.7,0.65,-2.18,43.9,0.201,2.6,155.4,16.628
50.7,126.1,34.4,0.53,5.14,33.5,0.755,2.39,41.1,20.876
119.9,267.1,38.8,2.93,-2.48,22.7,0.474,2.04,198.2,26.214
46.4,411.9,17.9,1.21,4.08,15.8,0.48,2.15,171.4,25.1
35.9,51.6,18.3,0.83,6.12,21.7,0.645,2.24,148.8,22.541
73.8,471.5,4.9,2.96,7.47,35.3,0.044,2.39,120.4,28.496
128.4,397.5,19.2,3.81,1.17,42.8,0.079,2.4,52.3,26.02
46.6,90.6,12.0,1.66,7.62,24.6,0.327,2.02,28.3,21.011
93.9,356.0,5.1,2.89,0.35,41.3,0.417,2.75,94.8,24.31
103.8,192.5,-6.6,0.49,-2.16,26.8,0.43,2.43,83.5,22.241
46.1,201.1,2.6,4.68,1.68,24.2,0.677,2.02,136.5,25.197
100.1,391.6,-0.1,1.68,3.45,30.3,0.001,2.56,38.2,26.131
60.5,481.4,17.1,4.99,0.95,28.3,0.959,2.06,114.6,29.621
89.6,63.3,20.1,4.89,2.37,42.4,0.174,2.58,140.2,23.625
89.7,210.3,20.4,3.89,0.41,29.0,0.249,2.56,63.3,21.168
78.9,240.5,9.4,0.1,1.82,23.3,0.906,2.79,157.1,24.099
29.9,188.2,11.1,2.72,7.38,40.3,0.005,2.27,89.2,21.641
111.9,181.6,31.7,0.43,1.5,45.0,0.991,2.12,36.7,24.397
55.3,26.1,13.8,4.48,-1.71,34.4,0.036,2.07,43.0,19.322
40.5,342.8,39.4,3.95,4.86,22.5,0.121,2.06,59.4,25.9
24.5,218.1,12.0,4.86,-0.61,22.2,0.24,2.65,35.8,21.715
85.0,97.4,22.5,3.04,5.61,16.7,0.439,2.57,114.8,23.255
94.5,408.0,-7.5,2.61,-4.26,17.3,0.518,2.78,190.1,26.755
21.8,401.3,22.7,2.59,-0.68,42.4,0.105,2.25,179.7,19.548
76.3,243.2,32.6,1.93,-3.77,17.9,0.074,2.64,68.1,18.936
44.9,149.2,37.1,2.34,-3.89,29.5,0.032,2.07,173.6,18.143
91.0,319.0,39.9,3.18,3.56,35.9,0.257,2.72,191.0,26.08
39.2,144.1,4.1,4.66,0.01,40.5,0.922,2.04,62.4,25.566
96.0,118.0,18.8,2.98,6.33,20.1,0.39,2.63,181.5,25.932
62.5,365.3,12.5,4.29,1.71,28.1,0.764,2.25,199.5,26.353
123.0,20.2,18.2,4.31,-1.16,22.5,0.19,2.14,160.5,24.348
35.1,47.4,-2.1,2.59,4.37,22.7,0.065,2.56,81.1,21.23
57.5,3.4,32.8,1.74,3.11,24.1,0.554,2.72,123.7,19.695
32.5,76.5,35.5,3.2,5.39,32.6,0.822,2.61,76.0,23.438
121.7,34.5,12.5,2.23,3.37,15.5,0.898,2.25,199.2,26.443
116.5,497.9,4.0,0.41,-2.83,27.3,0.546,2.28,18.2,24.838
48.4,144.4,-3.0,1.89,3.71,20.6,0.294,2.15,179.2,24.396
92.6,74.6,24.2,4.97,0.09,44.0,0.11,2.66,19.5,21.563
109.9,120.5,5.6,0.24,1.02,32.5,0.668,2.09,13.2,22.132
81.1,468.1,35.5,3.48,6.98,41.0,0.28,2.72,188.3,29.362
78.3,260.1,23.6,4.21,-0.32,20.9,0.844,2.48,174.1,26.431
46.6,182.4,22.3,3.24,2.96,39.3,0.605,2.47,75.5,20.724
30.2,436.7,18.0,2.85,-0.27,27.4,0.859,2.67,191.7,24.571
118.7,197.5,-7.7,3.54,-3.77,20.3,0.567,2.53,173.1,25.67
119.0,167.5,36.6,2.15,0.9,37.8,0.772,2.24,180.9,25.9
89.6,103.6,21.4,0.46,2.76,37.9,0.294,2.28,121.0,19.562
57.3,188.9,39.7,4.81,0.3,44.9,0.503,2.14,191.9,25.375
58.4,158.3,16.9,2.16,0.08,38.4,0.019,2.37,162.9,18.646
99.9,338.7,25.5,3.33,5.66,19.4,0.608,2.09,188.3,31.72
118.7,144.8,-7.2,2.66,-4.61,24.7,0.534,2.52,59.9,22.489
117.6,288.6,21.6,0.27,-1.16,28.6,0.755,2.14,108.8,24.166
105.8,32.9,28.2,4.76,5.55,18.8,0.729,2.69,174.2,28.096
90.6,95.6,28.9,3.96,6.97,38.6,0.628,2.56,118.0,26.999
29.3,203.7,28.5,0.75,0.36,30.8,0.057,2.71,161.2,18.824
37.8,468.5,1.3,4.91,6.55,43.3,0.903,2.07,194.8,31.125
118.8,188.6,38.8,3.68,-2.41,32.7,0.018,2.64,161.9,22.845
86.7,332.0,39.8,2.36,-2.12,30.7,0.803,2.7,66.5,25.746
21.0,127.5,-6.2,3.06,6.0,17.1,0.479,2.04,28.1,23.995
31.2,63.5,36.8,0.53,6.74,19.5,0.818,2.8,58.2,21.249
93.0,29.3,4.5,2.8,-2.1,40.5,0.465,2.24,134.2,20.455
20.6,152.7,24.5,0.37,-4.23,44.7,0.647,2.17,7.1,13.28
37.7,78.8,6.9,2.72,-3.83,27.5,0.363,2.33,42.0,16.038
80.4,87.0,38.4,2.76,-1.6,39.3,0.744,2.01,68.7,23.565
96.1,380.4,-4.9,4.37,4.9,33.8,0.254,2.71,175.7,30.156
91.7,7.9,14.9,3.63,1.63,43.8,0.719,2.21,14.9,22.058
44.7,278.9,11.4,1.25,0.92,22.1,0.193,2.42,14.7,18.958
98.3,189.7,6.3,4.44,2.59,31.3,0.722,2.5,112.6,28.282
46.1,253.3,22.3,2.87,6.57,27.3,0.294,2.63,39.7,24.23
55.8,281.4,-3.4,3.03,-3.82,31.3,0.279,2.2,52.2,21.787
102.1,156.7,25.8,0.84,4.03,23.1,0.811,2.57,40.9,21.47
91.5,147.6,39.0,4.29,7.05,29.9,0.814,2.09,118.4,29.236
113.4,366.7,30.2,4.65,-2.23,33.7,0.691,2.56,15.8,25.573
92.3,435.6,33.0,3.87,5.89,17.4,0.924,2.74,188.3,33.444
82.5,96.3,8.0,4.7,4.07,37.3,0.156,2.07,29.0,23.203
30.3,48.8,6.2,1.51,-4.81,36.2,0.269,2.09,190.6,17.108
60.4,448.9,15.9,4.31,-1.99,41.4,0.294,2.45,156.7,24.739
49.2,174.9,-7.7,2.44,2.88,27.8,0.305,2.04,166.5,26.057
46.8,275.7,37.3,0.82,1.53,16.9,0.328,2.15,38.7,22.801
127.0,179.8,-2.8,3.34,1.86,28.8,0.697,2.15,135.6,29.089
63.2,62.9,35.2,3.42,-1.98,19.1,0.271,2.38,164.3,18.996
118.1,294.7,-5.8,1.43,3.78,34.4,0.286,2.2,113.8,28.637
89.4,262.6,31.1,0.14,-1.54,16.4,0.57,2.38,112.5,22.385
107.4,101.5,-2.4,1.0,0.06,26.2,0.193,2.42,36.1,21.073
75.3,225.9,-8.1,2.0,-0.2,17.5,0.365,2.58,85.8,24.1
83.5,398.5,26.0,0.84,3.74,15.1,0.058,2.76,34.4,23.981
74.2,295.2,4.0,0.97,-3.83,43.8,0.953,2.4,194.7,23.814
41.5,48.5,25.7,1.96,-2.33,44.9,0.317,2.28,138.5,15.984
99.5,274.0,17.8,4.81,-2.39,31.7,0.85,2.21,14.4,26.016
50.9,351.4,-4.6,3.82,-3.59,22.2,0.53,2.51,98.0,23.696
22.7,396.4,36.6,1.6,-2.3,42.3,0.228,2.75,129.4,17.802
91.0,314.6,12.6,4.76,2.89,42.7,0.193,2.61,23.6,26.357
39.5,76.3,26.7,3.23,4.52,40.6,0.695,2.16,134.7,21.141
123.5,355.1,15.1,2.28,3.58,31.3,0.965,2.71,39.6,28.923
124.9,338.7,20.2,2.34,1.18,17.2,0.183,2.59,84.5,25.546
120.6,12.2,5.1,2.05,-4.32,17.7,0.115,2.1,127.0,20.734
60.7,205.9,0.0,1.16,7.47,41.9,0.387,2.57,76.2,23.68
21.7,166.5,17.1,1.93,-2.82,41.3,0.394,2.23,79.3,17.485
122.1,334.7,12.0,2.64,3.69,28.0,0.806,2.39,169.5,29.973
67.1,108.1,9.5,2.64,6.87,24.8,0.469,2.24,65.3,25.325
126.3,295.4,23.6,3.81,4.07,34.3,0.062,2.07,132.8,28.679
126.0,456.6,24.5,1.79,-2.17,39.2,0.921,2.61,170.6,27.061
113.8,398.9,-7.7,3.58,-0.89,37.0,0.373,2.66,34.8,28.545
52.4,460.7,6.9,2.89,-4.61,33.5,0.669,2.19,14.0,22.882
62.4,489.3,10.6,4.81,2.97,21.9,0.667,2.19,166.0,30.202
113.6,5.3,-5.2,1.93,2.97,22.9,0.056,2.34,112.5,23.404
54.9,311.4,1.8,4.51,4.43,36.7,0.004,2.65,166.4,26.713
38.6,206.4,-7.4,4.1,-4.86,39.1,0.088,2.06,46.5,19.506
81.2,429.9,39.8,3.19,5.63,18.5,0.957,2.65,167.4,30.966
123.0,125.9,26.8,3.27,4.6,20.6,0.794,2.74,23.6,27.348
96.6,490.5,-5.6,0.42,-3.17,35.4,0.132,2.45,177.2,24.715
82.7,306.9,-9.0,4.75,-0.48,26.7,0.615,2.05,165.4,28.533
30.7,396.8,26.0,0.53,3.3,31.9,0.612,2.22,115.6,22.194
87.7,42.8,12.0,2.82,1.45,33.4,0.001,2.09,123.6,21.067
128.9,91.7,29.3,1.65,-3.5,38.3,0.429,2.21,72.4,20.62
35.4,379.2,36.2,2.15,-3.86,39.2,0.712,2.65,44.3,20.017
77.0,11.0,20.0,3.05,5.16,23.4,0.187,2.04,93.8,22.795
116.5,408.4,-0.6,4.54,-2.97,31.2,0.851,2.23,133.2,30.995
101.5,7.0,29.1,2.29,-2.76,18.7,0.66,2.41,199.7,21.614
96.7,328.6,37.8,4.94,5.8,40.3,0.007,2.7,164.4,26.025
97.3,182.5,19.0,2.96,2.96,40.4,0.855,2.2,89.7,26.069
59.5,305.7,24.1,0.8,2.86,24.0,0.019,2.62,149.9,20.738
52.3,348.0,6.9,0.95,1.23,19.8,0.888,2.47,26.1,23.275
109.0,171.2,9.1,3.58,2.4,17.1,0.334,2.54,85.9,26.233
109.1,54.0,26.7,0.25,2.82,32.2,0.699,2.69,87.9,20.817
115.4,34.8,36.4,2.4,7.58,17.7,0.787,2.02,199.8,29.557
120.5,294.5,21.4,0.74,-2.1,35.4,0.281,2.42,81.2,22.359
76.2,260.3,29.5,2.17,-2.21,35.3,0.356,2.6,21.2,19.488
75.2,371.1,-1.4,3.75,-4.26,33.4,0.51,2.71,18.1,22.474
107.8,254.9,0.6,2.29,3.56,41.3,0.583,2.11,141.2,27.394
91.5,211.2,16.6,0.82,2.14,26.3,0.292,2.27,61.4,21.827
97.2,199.0,-1.2,1.26,-3.55,42.1,0.992,2.06,174.4,24.181
107.5,13.2,21.7,1.84,-0.26,16.1,0.737,2.67,99.2,20.203
117.9,167.8,4.6,0.35,-2.68,18.4,0.274,2.69,69.4,19.813
57.2,488.0,29.6,2.92,-0.69,27.4,0.64,2.39,153.0,24.769
61.3,436.8,30.4,3.04,7.37,32.8,0.435,2.02,86.4,29.171
30.3,164.7,13.2,0.31,3.88,16.0,0.86,2.08,148.8,20.945
83.6,293.9,-1.0,2.01,-4.9,32.0,0.329,2.5,144.2,23.204
24.0,423.6,22.3,2.07,-1.72,24.2,0.188,2.79,146.0,21.782
71.2,220.6,39.6,1.67,-4.87,41.6,0.046,2.67,172.1,17.528
79.7,9.0,21.1,2.79,4.29,31.0,0.984,2.64,170.4,23.981
51.5,37.3,-8.2,1.73,1.1,32.6,0.359,2.33,134.6,22.188
85.0,255.2,-9.1,2.08,7.92,43.4,0.221,2.79,191.6,29.567
23.4,484.7,6.0,3.99,4.54,37.9,0.492,2.66,9.0,25.289
24.1,346.6,-0.2,0.81,1.73,28.1,0.292,2.27,186.4,22.334
110.5,35.5,30.7,3.1,5.46,29.3,0.233,2.6,33.9,23.172
59.6,94.7,32.2,2.53,4.16,34.4,0.616,2.35,46.3,21.478
34.0,385.7,2.9,1.53,-1.83,21.0,0.075,2.53,164.4,21.559
77.4,420.7,6.3,3.64,1.89,17.7,0.509,2.78,83.1,27.197
104.7,308.8,1.8,2.76,2.23,24.3,0.387,2.2,87.9,26.973
43.7,322.2,35.4,2.39,0.87,38.4,0.533,2.64,55.9,21.904
88.5,14.2,15.1,3.34,-2.67,22.7,0.32,2.47,48.8,18.673
29.4,414.3,22.8,4.01,-2.1,18.9,0.57,2.76,25.7,24.076
25.7,394.1,10.8,4.86,-1.35,21.6,0.082,2.11,43.4,21.976
78.4,129.5,21.6,3.15,-4.87,35.4,0.376,2.58,115.5,19.472
79.5,354.3,9.3,4.37,6.92,33.4,0.237,2.03,142.8,29.747
90.1,107.4,7.0,0.01,3.92,35.6,0.438,2.2,149.1,22.249
99.9,20.2,21.7,2.65,3.97,24.7,0.398,2.26,77.2,23.547
127.3,100.6,19.6,1.07,2.44,42.0,0.631,2.35,184.8,24.98
76.8,89.3,4.7,0.47,3.96,28.6,0.629,2.77,69.1,23.434
55.5,168.9,-2.5,2.66,7.76,30.4,0.413,2.05,26.7,26.042
107.5,209.2,8.4,3.73,0.01,43.5,0.182,2.14,189.3,23.02
49.8,254.3,10.8,2.06,4.26,44.4,0.582,2.16,110.4,25.295
68.3,238.4,21.4,3.35,-0.33,34.8,0.967,2.34,194.4,24.933
28.6,135.3,35.7,2.45,6.11,43.3,0.185,2.05,81.8,21.462
22.8,14.6,-8.2,2.19,6.15,31.2,0.069,2.77,152.7,20.889
125.9,302.6,2.2,1.45,6.73,24.2,0.265,2.45,26.4,27.84
112.0,197.9,-0.3,1.91,-4.93,24.5,0.413,2.65,171.5,21.966
96.6,149.3,15.1,1.75,-1.12,31.8,0.306,2.62,38.3,18.135
65.0,433.5,11.5,3.23,-3.26,33.2,0.835,2.53,18.4,22.911
39.1,373.4,26.5,0.58,0.9,28.2,0.493,2.72,24.1,20.335
37.2,428.9,2.1,0.46,1.44,41.5,0.246,2.72,113.7,20.168
47.5,247.5,19.7,3.3,-1.67,27.8,0.95,2.1,61.9,23.297
80.4,65.5,34.2,2.73,4.4,23.2,0.125,2.72,192.4,24.705
98.6,348.1,35.5,2.15,-1.49,15.2,0.123,2.42,171.3,24.568
92.6,103.0,37.9,0.76,6.1,44.1,0.245,2.21,161.6,22.467
50.8,220.6,28.7,2.06,-2.69,39.7,0.077,2.49,162.9,18.437
125.0,32.5,35.3,3.95,-0.23,33.5,0.752,2.22,178.7,27.099
101.2,412.7,1.7,4.45,3.09,39.9,0.313,2.38,173.7,31.459
81.0,63.0,-0.1,3.51,2.87,39.3,0.73,2.65,186.0,25.789
87.3,451.5,-9.7,0.3,-3.99,43.0,0.763,2.03,187.2,27.196
66.2,432.1,25.3,3.35,6.0,26.6,0.238,2.15,63.2,28.075
47.3,232.3,36.9,1.2,2.77,31.6,0.518,2.77,47.8,21.305
59.2,372.2,-0.7,1.58,6.31,18.0,0.52,2.36,130.4,28.338
103.4,309.7,21.8,0.98,6.28,44.0,0.871,2.24,29.0,26.623
21.6,401.5,27.3,3.88,2.1,44.6,0.026,2.74,46.2,21.879
32.8,215.9,36.4,3.24,6.84,38.7,0.317,2.73,155.7,23.57
25.1,392.9,22.3,3.06,6.03,28.6,0.882,2.04,131.6,29.861
24.5,231.2,38.5,3.34,7.46,29.9,0.237,2.29,131.9,24.271
114.1,470.5,7.2,1.18,6.06,28.1,0.137,2.73,190.4,29.598
97.4,243.2,7.5,2.22,5.68,23.8,0.576,2.14,135.2,26.954
72.2,231.3,17.2,3.17,1.1,30.8,0.306,2.46,89.0,22.19
30.8,392.5,9.2,3.18,-2.24,16.6,0.467,2.26,59.7,21.511
